spec,bwselect,N_used,tau,se,p,ci95_l,ci95_u,h_l,h_r
No controls,cerrd,7145,110.126,156.498,0.482,-196.605,416.856,54.453,54.453
With controls,cerrd,7020,257.818,382.393,0.5,-491.657,1007.294,50.519,50.519
No controls,mserd,7145,19.133,13.028,0.142,-6.403,44.668,84.864,84.864
With controls,mserd,7020,16.51,16.858,0.327,-16.531,49.551,78.663,78.663
